"Name","dataset_size","freeze_backbone","model","test_mAP","test_mAP_50"
"worthy-sweep-28","3000","false","retinanet","0.3638711571693421","0.6234132051467896"
"skilled-sweep-27","3000","true","retinanet","0.2753722369670868","0.4984489679336548"
"golden-sweep-26","3000","false","fcos","0.40979841351509094","0.6790568828582764"
"fancy-sweep-25","3000","true","fcos","0.366179496049881","0.6181755661964417"
"prime-sweep-24","200","false","retinanet","0.03298357129096985","0.06806813180446625"
"daily-sweep-23","200","true","retinanet","0.020128635689616203","0.04191804677248001"
"dazzling-sweep-22","200","false","fcos","0.2852763235569","0.5066127777099609"
"ethereal-sweep-21","200","true","fcos","0.2608957588672638","0.46026140451431274"
"solar-sweep-20","100","false","retinanet","0.06723206490278244","0.1408495008945465"
"fancy-sweep-19","100","true","retinanet","0.02451091818511486","0.05450580269098282"
"vague-sweep-18","100","false","fcos","0.24452444911003113","0.43130388855934143"
"elated-sweep-17","100","true","fcos","0.21735110878944397","0.3959126770496368"
"hardy-sweep-16","75","false","retinanet","0.122552327811718","0.250216543674469"
"volcanic-sweep-15","75","true","retinanet","0.1199345961213112","0.24344345927238464"
"prime-sweep-14","75","false","fcos","0.222197026014328","0.41459324955940247"
"chocolate-sweep-13","75","true","fcos","0.2076139748096466","0.39350825548172"
"bumbling-sweep-12","50","false","retinanet","0.0855596736073494","0.16963259875774384"
"hearty-sweep-11","50","true","retinanet","0.08431173115968704","0.17152781784534454"
"fresh-sweep-10","50","false","fcos","0.20850077271461487","0.3948498666286469"
"stilted-sweep-9","50","true","fcos","0.184124618768692","0.355759859085083"
"worthy-sweep-8","10","false","retinanet","0.021068070083856583","0.042313434183597565"
"vocal-sweep-7","10","true","retinanet","0.01954283751547337","0.04111137613654137"
"summer-sweep-6","10","false","fcos","0.08359869569540024","0.15186810493469238"
"young-sweep-5","10","true","fcos","0.07735137641429901","0.14285877346992493"
"kind-sweep-4","5","false","retinanet","0.003403007984161377","0.008773565292358398"
"zesty-sweep-3","5","true","retinanet","0.003334094537422061","0.00875065103173256"
"different-sweep-2","5","false","fcos","0.046471573412418365","0.0851021260023117"
"playful-sweep-1","5","true","fcos","0.0461118146777153","0.0841698944568634"
"tiny-data-200-frozen","200","true","FasterRCNN","0.1528167575597763","0.32900744676589966"
"tiny-data-100-frozen","100","true","FasterRCNN","0.10482114553451538","0.2362912744283676"
"tiny-data-75-frozen","75",true,"FasterRCNN","0.16722792387008667","0.3642144203186035"
"tiny-data-50-frozen","50","true","FasterRCNN","0.13276252150535583","0.2891034185886383"
"tiny-data-10-frozen","10","true","FasterRCNN","0.04110943153500557","0.08946497738361359"
"tiny-data-5-frozen","5","true","FasterRCNN","0.009853529743850231","0.02162426710128784"
"tiny-data-200","200","false","FasterRCNN","0.29942700266838074","0.577914834022522"
"tiny-data-100","100","false","FasterRCNN","0.26285597681999207","0.5161414742469788"
"tiny-data-75","75","false","FasterRCNN","0.203843891620636","0.4034053087234497"
"tiny-data-50","50","false","FasterRCNN","0.1433059126138687","0.30328434705734253"
"tiny-data-10","10","false","FasterRCNN","0.03260592371225357","0.08244223892688751"
"tiny-data-5","5","false","FasterRCNN","0.018494030460715297","0.05332798883318901"
"rcnn-0.005","3000","false","FasterRCNN","0.4306350350379944","0.7206176519393921"
"frozen-rcnn","3000","true","FasterRCNN","0.31767985224723816","0.561484158039093"
